,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,Cidreira,-30.1811,-50.2056,289.4,90,99,3.93,BR,1628071449
130,Hofn,64.2539,-15.2082,285.16,94,40,2.06,IS,1628050610
131,Sinnamary,5.3833,-52.95,301.01,77,71,4.45,GF,1628069262
132,Penalva,-3.2942,-45.1736,305.14,42,90,0.69,BR,1628068040
133,Carnarvon,-24.8667,113.6333,284.19,39,0,5.14,AU,1628118012
134,Khani,41.9563,42.9566,293.91,94,79,0.78,GE,1628042679
135,Faizpur,21.1667,75.85,299.09,81,100,5.26,IN,1628123502
136,Usinsk,65.9939,57.5281,291.71,86,99,2.1,RU,1628032033
137,Northam,51.0333,-4.2167,290.59,85,100,2.76,GB,1628052420
138,Hasaki,35.7333,140.8333,296.37,89,0,1.63,JP,1628106443
139,Tutóia,-2.7619,-42.2744,303.14,73,80,3.22,BR,1628067305
140,Jizan,17.3333,42.6667,306.67,65,84,2.34,SA,1628045373
141,Ribeira Grande,38.5167,-28.7,299.37,69,20,3.09,PT,1628060360
142,Abhā,18.2164,42.5053,294.05,83,20,5.14,SA,1628045337
143,Kangaatsiaq,68.3065,-53.4641,279.65,88,28,3.24,GL,1628056857
144,Clyde River,70.4692,-68.5914,276.28,93,90,4.63,CA,1628057753
145,Alofi,-19.0595,-169.9187,291.09,100,100,1.03,NU,1628099181
146,Banjar,-8.19,114.9675,299.07,91,30,1.66,ID,1628116363
147,Isangel,-19.55,169.2667,290.21,88,52,2.57,VU,1628104215
148,Lüderitz,-26.6481,15.1594,286.43,84,4,2.01,NA,1628055434
149,Crateús,-5.1783,-40.6775,306.44,24,46,2.84,BR,1628067101
150,Yulara,-25.2406,130.9889,277.06,60,0,2.57,AU,1628113881
151,Sitka,57.0531,-135.33,290.09,82,90,2.06,US,1628082407
152,Gambēla,8.25,34.5833,295.21,89,100,1.7,ET,1628048035
153,East London,-33.0153,27.9116,291.0,86,69,2.44,ZA,1628052998
154,Ostrovnoy,68.0531,39.5131,283.4,91,99,6.75,RU,1628034710
155,Jumla,29.2747,82.1838,290.55,95,97,0.8,NP,1628121228
156,Dunedin,-45.8742,170.5036,280.82,73,100,7.15,NZ,1628106748
157,Uusikaupunki,60.8004,21.4084,284.44,59,6,2.59,FI,1628043433
158,Bethel,41.3712,-73.414,297.62,70,1,2.06,US,1628070712
159,Los Llanos de Aridane,28.6585,-17.9182,294.01,86,20,7.72,ES,1628058889
160,Katobu,-4.9408,122.5276,296.18,93,100,1.53,ID,1628114308
161,Ekimchan,53.0667,132.9667,285.87,99,97,1.4,RU,1628105501
162,Ereymentau,51.6199,73.1033,289.13,68,13,1.57,KZ,1628120210
163,Øksfjord,70.2396,22.3479,284.19,95,98,1.94,NO,1628036189
164,Payo,-3.7508,103.6372,295.26,98,98,0.99,ID,1628118754
165,Aden,12.7794,45.0367,301.9,82,21,2.86,YE,1628045174
166,Muromtsevo,56.3724,75.2418,286.88,97,94,2.47,RU,1628118519
167,Cavalcante,-13.7975,-47.4583,300.72,24,6,3.51,BR,1628069381
168,Ṭikāpur,28.5,81.1333,301.5,90,90,2.1,NP,1628121557
169,Hithadhoo,-0.6,73.0833,300.74,78,100,3.41,MV,1628125855
170,Horsham,51.064,-0.3272,293.07,46,0,2.57,GB,1628051479
171,Lao Cai,22.4833,103.95,299.85,76,63,1.12,VN,1628116641
172,Provideniya,64.3833,-173.3,288.21,63,0,11.0,RU,1628175161
173,Sobolevo,54.4299,31.8996,286.9,82,71,1.82,RU,1628042948
174,Comodoro Rivadavia,-45.8667,-67.5,293.07,19,0,2.06,AR,1628077495
175,Cassilândia,-19.1133,-51.7342,297.44,23,100,1.96,BR,1628070831
176,Khatanga,71.9667,102.5,289.64,50,92,5.37,RU,1628099524
177,Adelaide,-34.9333,138.6,284.98,91,20,0.45,AU,1628113000
178,Cockburn Town,21.4612,-71.1419,303.13,66,40,5.14,TC,1628072340
179,Dikson,73.5069,80.5464,279.82,92,9,1.04,RU,0
180,Téra,14.0078,0.7531,307.82,39,47,6.33,NE,1628055705
181,Bertoua,4.5833,13.6833,294.28,87,32,1.04,CM,1628053329
182,Guerrero Negro,27.9769,-114.0611,301.64,51,11,5.57,MX,1628082040
183,Beringovskiy,63.05,179.3167,282.55,91,100,10.47,RU,1628091034
184,Yārāda,17.65,83.2667,303.33,70,75,3.09,IN,1628122018
185,Ilulissat,69.2167,-51.1,284.16,58,1,2.06,GL,1628055306
186,Buraidah,26.326,43.975,309.4,10,31,5.41,SA,1628044258
187,Iquitos,-3.7481,-73.2472,304.17,45,20,3.09,PE,1628074811
188,San Cristobal,7.7669,-72.225,300.25,55,99,3.22,VE,1628073708
189,Guthrie,35.8789,-97.4253,305.67,49,86,2.06,US,1628077192
190,Pontal do Paraná,-25.6533,-48.5128,293.0,48,40,6.17,BR,1628070618
191,Chiang Klang,19.2938,100.8617,296.7,99,100,0.89,TH,1628117657
192,Labuhan,-6.8844,112.2051,297.89,86,54,2.56,ID,1628116929
193,Ixtapa,20.7,-105.2,304.94,66,20,2.57,MX,1628080583
194,Mizdah,31.4451,12.9801,306.18,12,0,4.06,LY,1628051181
195,Tuatapere,-46.1333,167.6833,275.27,83,100,1.85,NZ,1628107464
196,Nanortalik,60.1432,-45.2371,280.91,93,100,0.93,GL,1628059711
197,Caravelas,-17.7125,-39.2481,293.38,86,98,5.09,BR,1628067721
198,Otavi,-19.65,17.3333,291.45,27,0,1.55,NA,1628054304
